t,T_in,u,T_out
271.000000,44.100000,1.000000,29.320000
272.000000,44.100000,1.000000,29.320000
273.000000,44.100000,1.000000,29.320000
274.000000,44.100000,1.000000,29.320000
275.000000,44.100000,1.000000,29.320000
276.000000,44.100000,1.000000,29.320000
277.000000,44.100000,1.000000,29.320000
278.000000,44.100000,1.000000,29.320000
279.000000,44.100000,1.000000,29.320000
280.000000,44.100000,1.000000,29.320000
281.000000,44.100000,1.000000,29.320000
282.000000,44.100000,1.000000,29.320000
283.000000,44.100000,1.000000,29.320000
284.000000,44.100000,1.000000,29.320000
285.000000,44.100000,1.000000,29.320000
286.000000,44.100000,1.000000,29.320000
287.000000,44.100000,1.000000,29.320000
288.000000,44.100000,1.000000,29.320000
289.000000,44.100000,1.000000,29.320000
290.000000,44.100000,1.000000,29.320000
291.000000,44.100000,1.000000,29.320000
292.000000,44.100000,1.000000,29.320000
293.000000,44.100000,1.000000,29.320000
294.000000,44.100000,1.000000,29.320000
295.000000,44.100000,1.000000,29.320000
296.000000,44.100000,1.000000,29.320000
297.000000,44.100000,1.000000,29.320000
298.000000,44.100000,1.000000,29.320000
299.000000,44.100000,1.000000,29.320000
300.000000,44.100000,1.000000,29.320000
301.000000,44.100000,1.000000,29.320000
302.000000,44.100000,1.000000,29.320000
303.000000,44.100000,1.000000,29.320000
304.000000,44.100000,1.000000,29.320000
305.000000,44.100000,1.000000,29.320000
306.000000,44.100000,1.000000,29.320000
307.000000,44.100000,1.000000,29.320000
308.000000,44.100000,1.000000,29.320000
309.000000,44.100000,1.000000,29.320000
310.000000,44.100000,1.000000,29.320000
311.000000,44.100000,1.000000,29.320000
312.000000,44.100000,1.000000,29.320000
313.000000,44.100000,1.000000,29.320000
314.000000,44.100000,1.000000,29.320000
315.000000,44.100000,1.000000,29.320000
316.000000,44.100000,1.000000,29.320000
317.000000,44.100000,1.000000,29.320000
318.000000,44.100000,1.000000,29.320000
319.000000,44.100000,1.000000,29.810000
320.000000,44.590000,1.000000,29.810000
321.000000,44.100000,1.000000,29.810000
322.000000,44.100000,1.000000,29.810000
323.000000,44.100000,1.000000,29.810000
324.000000,44.100000,1.000000,29.810000
325.000000,44.100000,1.000000,29.810000
326.000000,44.100000,1.000000,29.810000
327.000000,44.100000,1.000000,29.810000
328.000000,44.100000,1.000000,29.320000
329.000000,44.100000,1.000000,29.320000
330.000000,44.100000,1.000000,29.320000
331.000000,44.100000,1.000000,29.320000
332.000000,44.100000,1.000000,29.320000
333.000000,44.100000,1.000000,29.320000
334.000000,44.100000,1.000000,29.320000
335.000000,44.100000,1.000000,29.320000
336.000000,44.100000,1.000000,29.320000
337.000000,44.100000,1.000000,29.320000
338.000000,44.100000,1.000000,29.320000
339.000000,44.100000,1.000000,29.320000
340.000000,44.100000,1.000000,29.320000
341.000000,44.100000,1.000000,29.320000
342.000000,44.100000,1.000000,29.320000
343.000000,44.100000,1.000000,29.320000
344.000000,44.590000,1.000000,29.320000
345.000000,44.590000,1.000000,29.320000
346.000000,44.100000,1.000000,29.320000
347.000000,44.590000,1.000000,29.320000
348.000000,44.590000,1.000000,29.320000
349.000000,44.100000,1.000000,29.320000
350.000000,44.590000,1.000000,29.320000
351.000000,44.100000,1.000000,29.320000
352.000000,44.100000,1.000000,29.320000
353.000000,44.100000,1.000000,29.320000
354.000000,44.100000,1.000000,29.320000
355.000000,44.100000,1.000000,29.320000
356.000000,44.100000,1.000000,29.320000
357.000000,44.100000,1.000000,29.320000
358.000000,44.100000,1.000000,29.320000
359.000000,44.100000,1.000000,29.320000
360.000000,44.100000,1.000000,29.320000
361.000000,44.100000,1.000000,29.320000
362.000000,44.100000,1.000000,29.320000
363.000000,44.100000,1.000000,29.320000
364.000000,44.100000,1.000000,29.320000
